unidade;ano;mes;pacientes_pcm;internacoes;tx_paciente_pcm
HEM;2025;3;0;153;0,0
HEM;2025;4;0;172;0,0
HEM;2025;5;0;186;0,0
HEM;2025;6;0;169;0,0
HEM;2025;7;0;182;0,0
HEM;2025;8;0;170;0,0
HEM;2025;9;0;170;0,0
HEM;2025;10;3;193;0,015544041450777202
HEM;2025;11;0;161;0,0
HEM;2025;12;0;156;0,0
HEM;2026;1;0;156;0,0
HRBJA;2022;1;0;183;0,0
HRBJA;2022;2;0;154;0,0
HRBJA;2022;3;0;206;0,0
HRBJA;2022;4;0;163;0,0
HRBJA;2022;5;0;191;0,0
HRBJA;2022;6;0;162;0,0
HRBJA;2022;7;0;228;0,0
HRBJA;2022;8;0;210;0,0
HRBJA;2022;9;0;206;0,0
HRBJA;2022;10;0;183;0,0
HRBJA;2022;11;0;165;0,0
HRBJA;2022;12;0;200;0,0
HRBJA;2023;1;0;195;0,0
HRBJA;2023;2;0;165;0,0
HRBJA;2023;3;0;189;0,0
HRBJA;2023;4;0;200;0,0
HRBJA;2023;5;0;187;0,0
HRBJA;2023;6;0;206;0,0
HRBJA;2023;7;0;204;0,0
HRBJA;2023;8;0;203;0,0
HRBJA;2023;9;0;204;0,0
HRBJA;2023;10;0;187;0,0
HRBJA;2023;11;0;225;0,0
HRBJA;2023;12;0;235;0,0
HRBJA;2024;1;0;246;0,0
HRBJA;2024;2;0;220;0,0
HRBJA;2024;3;0;209;0,0
HRBJA;2024;4;0;210;0,0
HRBJA;2024;5;0;229;0,0
HRBJA;2024;6;0;194;0,0
HRBJA;2024;7;1;328;0,003048780487804878
HRBJA;2024;8;12;375;0,032
HRBJA;2024;9;74;352;0,21022727272727273
HRBJA;2024;10;103;214;0,48130841121495327
HRBJA;2024;11;89;230;0,3869565217391304
HRBJA;2024;12;104;274;0,3795620437956204
